ID,y
2,0.04454256
5,0.055868596
6,0.0020772861
7,0.01041389
9,0.0025250306
11,0.27477446
12,0.104930446
15,0.22454934
16,0.05368227
17,0.019029485
19,0.038999833
21,0.004652358
22,0.023694236
24,0.01364207
27,0.0044197924
28,0.026433315
30,0.11108336
33,0.0028100635
35,0.010474135
37,0.034149706
38,0.02717022
40,0.1841425
41,0.032555666
44,0.0065389364
46,0.10146265
47,0.016652267
48,0.003019337
50,0.0038565798
52,0.16439544
53,0.007666865
55,0.024826514
57,0.0025574213
58,0.019649362
59,0.013549047
62,0.031431314
63,0.015096247
64,0.030551098
65,0.0142404
67,0.02030819
69,0.07330796
70,0.0034369163
71,0.016907295
72,0.0069506643
73,0.001843177
76,0.0038829378
78,0.0023785287
79,0.046546873
81,0.003595314
85,0.013509392
86,0.0031850971
89,0.037393022
94,0.048422247
96,0.003590667
97,0.019949157
98,0.0025596044
99,0.01548992
100,0.26127753
103,0.07319569
104,0.005105078
108,0.0047597312
110,0.003042181
112,0.028451819
114,0.023916971
116,0.012620944
117,0.006411514
119,0.006708183
120,0.0037122616
121,0.0022208095
123,0.03311218
124,0.0362172
126,0.002493419
128,0.017280925
129,0.09971251
133,0.05723698
138,0.022637798
147,0.016716424
149,0.016501272
158,0.0026230123
160,0.009216369
164,0.04143967
167,0.05397351
168,0.027986279
174,0.006767754
181,0.023347236
185,0.038712393
187,0.00541034
189,0.01520412
190,0.052050307
194,0.003933808
197,0.06977341
198,0.018877825
201,0.044023708
205,0.0042131566
208,0.17439541
211,0.009958443
216,0.05843567
219,0.08854435
223,0.0072263367
224,0.15499118
226,0.013716571
229,0.015373849
230,0.019430535
237,0.034176506
238,0.019251605
240,0.13232079
243,0.0030728725
245,0.19527262
246,0.27631015
247,0.0065661957
248,0.011728445
249,0.0028100635
250,0.26751223
251,0.0019859124
255,0.10028385
256,0.029450206
257,0.063203104
260,0.16007139
261,0.00942112
263,0.29156953
264,0.14387786
267,0.006308058
268,0.01644637
272,0.0117168445
274,0.0066769216
275,0.0033079702
277,0.27933007
278,0.1808843
280,0.0029661537
281,0.012158132
282,0.11229352
283,0.014581661
284,0.12481585
286,0.014920191
290,0.038539626
291,0.036306713
293,0.028450461
295,0.11196713
297,0.0021541344
298,0.056732845
300,0.003635149
304,0.0056825434
305,0.0040622726
308,0.0046103992
309,0.009970848
310,0.00461374
312,0.0362172
313,0.18472248
315,0.02099529
317,0.024927624
318,0.0220524
321,0.021699144
323,0.064078644
325,0.009557481
326,0.012838069
327,0.017739955
328,0.04246967
329,0.018229278
330,0.003771685
331,0.010916245
334,0.06374847
335,0.013038083
336,0.07108048
337,0.007633059
338,0.026498137
339,0.012902132
341,0.18088715
343,0.008665444
346,0.0017852851
348,0.0034345654
350,0.30696633
351,0.0021322647
352,0.012061822
357,0.06099266
358,0.015096247
360,0.008136849
361,0.010921003
364,0.037258778
365,0.034903232
366,0.020001592
367,0.007258746
368,0.006690344
370,0.0042645843
372,0.003007108
376,0.0016192388
377,0.0048796367
379,0.016727785
380,0.015073372
381,0.076491125
385,0.018668782
386,0.040956892
389,0.059628133
391,0.05307408
392,0.004235105
393,0.009813356
395,0.018869454
396,0.006095158
397,0.0020927945
398,0.036807112
399,0.05179082
400,0.008365666
401,0.02678527
403,0.0036298437
405,0.02610854
406,0.028494034
409,0.008082781
411,0.017105885
413,0.0070061805
418,0.002650372
419,0.013157181
422,0.012061822
424,0.28813222
425,0.06707757
427,0.003590667
430,0.0019064333
431,0.012902132
434,0.015428536
435,0.036306713
437,0.037299287
438,0.0016939492
439,0.1468051
442,0.01352945
446,0.013913234
450,0.06716413
451,0.0081751915
452,0.013474258
454,0.002074251
455,0.003938393
463,0.01117694
464,0.0156418
465,0.0027459804
467,0.13994277
468,0.043129507
470,0.015520251
472,0.20640108
473,0.015458392
475,0.0033046375
476,0.0054004933
479,0.027898246
481,0.0030570289
483,0.039082795
484,0.020914892
486,0.03000033
487,0.0023103764
491,0.02881164
494,0.010336783
495,0.0058970843
497,0.019824337
498,0.0069694296
499,0.013067562
503,0.017042466
504,0.04282666
505,0.008180838
506,0.0048872675
507,0.05186324
508,0.112653926
509,0.022349903
510,0.0126677165
511,0.011450323
512,0.02628948
516,0.002995751
518,0.03881895
519,0.008303263
520,0.004526401
521,0.0035833165
522,0.0037601695
524,0.0737666
525,0.004140642
526,0.0029773049
528,0.013566807
529,0.023146337
531,0.085968524
532,0.15802516
534,0.11990912
536,0.05648579
539,0.116257615
540,0.024946801
541,0.0025186387
542,0.0706381
545,0.013703302
546,0.003750308
552,0.01779041
556,0.0020488687
557,0.0034389994
559,0.016987333
562,0.020147191
563,0.014209536
565,0.055822436
569,0.0025570383
570,0.08510122
574,0.032107513
575,0.011474626
585,0.009190302
589,0.0082876785
590,0.021405365
592,0.015253592
593,0.0361706
594,0.009287013
595,0.011142763
597,0.007619818
601,0.0026606217
603,0.013030782
604,0.0022891075
605,0.030495357
607,0.0031850971
608,0.01621411
610,0.019629464
612,0.04318963
613,0.054001857
615,0.0075189066
616,0.38699538
617,0.03271825
619,0.013797947
620,0.20067142
621,0.0042328937
624,0.038415052
625,0.017942317
628,0.003910783
629,0.21674484
630,0.034076262
632,0.02007307
634,0.0023986048
637,0.008696918
638,0.021529833
642,0.017574167
643,0.010772249
644,0.0939809
646,0.0019166743
655,0.021180194
660,0.01643994
664,0.031403344
665,0.0705753
666,0.0035030707
670,0.04432434
671,0.26331478
672,0.0067113796
675,0.003988539
676,0.039664824
677,0.017973421
678,0.00610423
680,0.0038350695
683,0.20109557
684,0.01989288
685,0.040065024
691,0.11638857
693,0.002391441
696,0.0019475801
698,0.010225903
699,0.012807672
700,0.010921652
703,0.011986692
704,0.032192703
705,0.013105855
707,0.2403669
709,0.094840534
711,0.1845809
713,0.012066887
716,0.0025596665
719,0.0031850971
721,0.008975969
722,0.005191542
723,0.027637137
724,0.0061012134
727,0.0023303952
728,0.01423607
729,0.0029507647
733,0.009356867
736,0.0040916493
739,0.040987153
742,0.28753603
743,0.013515774
744,0.002997619
745,0.27982295
747,0.011861277
749,0.02504078
750,0.017742073
751,0.028770832
752,0.0051148986
755,0.006428526
756,0.002252352
762,0.041186575
763,0.03446633
764,0.011547232
765,0.027364006
766,0.009655556
769,0.019040013
770,0.15275726
